date,symbol,eps,epsestimated,time,revenue,revenueestimated,updatedfromdate,fiscaldateending,ticker,time_raw,is_amc,is_bmo
2012-07-31,META,-0.08356,,amc,1184000000.0,,2025-04-25,2012-06-30,META,amc,True,False
2012-10-23,META,0.12,0.11,amc,1262000000.0,1156833333.0,2025-04-25,2012-09-30,META,amc,True,False
2013-01-30,META,0.17,0.15,amc,1585000000.0,1398529411.0,2025-04-25,2012-12-31,META,amc,True,False
2013-05-01,META,0.12,0.13,amc,1458000000.0,1579500000.0,2025-04-25,2013-03-31,META,amc,True,False
2013-07-24,META,0.19,0.14,amc,1813000000.0,1335894736.0,2025-04-25,2013-06-30,META,amc,True,False
2013-10-30,META,0.25,0.19,amc,2016000000.0,1532160000.0,2025-04-25,2013-09-30,META,amc,True,False
2014-01-29,META,0.31,0.27,amc,2585000000.0,2251451612.0,2025-04-25,2013-12-31,META,amc,True,False
2014-04-23,META,0.34,0.24,amc,2502000000.0,1766117647.0,2025-04-25,2014-03-31,META,amc,True,False
2014-07-23,META,0.42,0.32,amc,2910000000.0,2217142857.0,2025-04-25,2014-06-30,META,amc,True,False
2014-10-28,META,0.43,0.4,amc,3203000000.0,2979534883.0,2025-04-25,2014-09-30,META,amc,True,False
2015-01-28,META,0.54,0.49,amc,3851000000.0,3494425925.0,2025-04-25,2014-12-31,META,amc,True,False
2015-04-22,META,0.42,0.4,amc,3543000000.0,3374285714.0,2025-04-25,2015-03-31,META,amc,True,False
2015-07-29,META,0.5,0.47,amc,4042000000.0,3799480000.0,2025-04-25,2015-06-30,META,amc,True,False
2015-11-04,META,0.57,0.52,amc,4501000000.0,4106175438.0,2025-04-25,2015-09-30,META,amc,True,False
2016-01-27,META,0.79,0.68,amc,5841000000.0,5027696202.0,2025-04-25,2015-12-31,META,amc,True,False
2016-04-27,META,0.77,0.62,amc,5382000000.0,4333558441.0,2025-04-25,2016-03-31,META,amc,True,False
2016-07-27,META,0.97,0.82,amc,6436000000.0,5440742268.0,2025-04-25,2016-06-30,META,amc,True,False
2016-11-02,META,1.09,0.97,amc,7011000000.0,6239146788.0,2025-04-25,2016-09-30,META,amc,True,False
2017-02-01,META,1.41,1.31,amc,8809000000.0,8184248226.0,2025-04-25,2016-12-31,META,amc,True,False
2017-05-03,META,1.3,1.12,amc,8032000000.0,8649846153.0,2025-04-25,2017-03-31,META,amc,True,False
2017-07-26,META,1.32,1.13,amc,9321000000.0,7979340909.0,2025-04-25,2017-06-30,META,amc,True,False
2017-11-01,META,1.59,1.28,amc,10328000000.0,8314364779.0,2025-04-25,2017-09-30,META,amc,True,False
2018-01-31,META,2.21,1.95,amc,12972000000.0,17566250000.0,2025-04-25,2017-12-31,META,amc,True,False
2018-04-25,META,1.69,1.35,amc,11966000000.0,9558639053.0,2025-04-25,2018-03-31,META,amc,True,False
2018-07-25,META,1.74,1.72,amc,13231000000.0,13078919540.0,2025-04-25,2018-06-30,META,amc,True,False
2018-10-30,META,1.76,1.47,amc,13727000000.0,11465164772.0,2025-04-25,2018-09-30,META,amc,True,False
2019-01-30,META,2.38,2.19,amc,16914000000.0,15563722689.0,2025-04-25,2018-12-31,META,amc,True,False
2019-04-24,META,1.89,1.63,amc,15077000000.0,28912364705.0,2025-04-25,2019-03-31,META,amc,True,False
2019-07-24,META,1.99,1.88,amc,16886000000.0,34885362637.0,2025-04-25,2019-06-30,META,amc,True,False
2019-10-30,META,2.12,1.91,amc,17652000000.0,15903452830.0,2025-04-25,2019-09-30,META,amc,True,False
2020-01-29,META,2.56,2.53,amc,21082000000.0,20834945312.0,2025-04-25,2019-12-31,META,amc,True,False
2020-04-29,META,1.71,1.75,amc,17737000000.0,18255625730.0,2025-04-25,2020-03-31,META,amc,True,False
2020-07-30,META,1.8,1.39,amc,18687000000.0,14430516666.0,2025-04-25,2020-06-30,META,amc,True,False
2020-10-29,META,2.4,1.91,amc,21470000000.0,15131992619.0,2025-04-25,2020-09-30,META,amc,True,False
2021-01-27,META,3.88,3.22,amc,28072000000.0,22317316770.0,2025-04-25,2020-12-31,META,amc,True,False
2021-04-28,META,3.3,2.37,amc,26171000000.0,23516800000.0,2025-04-25,2021-03-31,META,amc,True,False
2021-07-28,META,3.61,3.03,amc,29077000000.0,29481700000.0,2025-04-25,2021-06-30,META,amc,True,False
2021-10-25,META,3.22,3.19,amc,29010000000.0,29545600000.0,2025-04-25,2021-09-30,META,amc,True,False
2022-02-02,META,3.67,3.84,amc,33671000000.0,33370161276.0,2025-04-25,2021-12-31,META,amc,True,False
2022-04-27,META,2.72,2.56,amc,27908000000.0,28278997754.0,2025-04-25,2022-03-31,META,amc,True,False
2022-07-27,META,2.46,2.59,amc,28822000000.0,28908384447.0,2025-04-25,2022-06-30,META,amc,True,False
2022-10-26,META,1.64,1.89,amc,27714000000.0,27439470981.0,2025-04-25,2022-09-30,META,amc,True,False
2023-02-01,META,1.76,2.22,amc,32165000000.0,31551048476.0,2025-04-25,2022-12-31,META,amc,True,False
2023-04-26,META,2.2,2.03,amc,28645000000.0,27654600000.0,2025-04-25,2023-03-31,META,amc,True,False
2023-07-26,META,2.98,2.92,amc,31999000000.0,27968300000.0,2025-04-25,2023-06-30,META,amc,True,False
2023-10-25,META,4.39,3.63,amc,34146000000.0,31647200000.0,2025-04-25,2023-09-30,META,amc,True,False
2024-02-01,META,5.33,4.96,amc,40111000000.0,39168800000.0,2025-04-25,2023-12-31,META,amc,True,False
2024-04-24,META,4.71,4.32,amc,36455000000.0,36146676261.0,2025-04-25,2024-03-31,META,amc,True,False
2024-07-31,META,5.16,4.73,amc,39071000000.0,38261443896.0,2025-04-25,2024-06-30,META,amc,True,False
2024-10-30,META,6.03,5.25,amc,40589000000.0,40202943776.0,2025-04-25,2024-09-30,META,amc,True,False
2025-01-29,META,8.02,6.75,amc,48385000000.0,47004057689.0,2025-04-29,2024-12-31,META,amc,True,False
2025-04-30,META,6.43,5.23,amc,42314000000.0,41339201062.0,2025-07-30,2025-03-31,META,amc,True,False
2025-07-30,META,7.14,5.88,amc,47516000000.0,44821438597.0,2025-10-30,2025-06-30,META,amc,True,False
2025-10-29,META,7.25,6.72,amc,51242000000.0,49508128269.0,2026-01-29,2025-09-30,META,amc,True,False
2026-01-28,META,8.88,8.19,amc,59893000000.0,58330100000.0,2026-04-17,2025-12-31,META,amc,True,False
2026-04-29,META,,6.69,amc,,55517820000.0,2026-04-17,2026-03-31,META,amc,True,False
1985-09-29,MMM,0.19,,bmo,2023000000.0,,2025-04-25,1985-09-30,MMM,bmo,False,True
1985-12-30,MMM,0.1812,,bmo,7846000000.0,,2025-04-25,1985-12-31,MMM,bmo,False,True
1986-03-30,MMM,0.2,,bmo,2069000000.0,,2025-04-25,1986-03-31,MMM,bmo,False,True
1986-06-29,MMM,0.22,,bmo,2185000000.0,,2025-04-25,1986-06-30,MMM,bmo,False,True
1986-09-29,MMM,0.24,,bmo,2236000000.0,,2025-04-25,1986-09-30,MMM,bmo,False,True
1986-12-30,MMM,0.2125,,bmo,8602000000.0,,2025-04-25,1986-12-31,MMM,bmo,False,True
1987-03-30,MMM,0.24,,bmo,2207000000.0,,2025-04-25,1987-03-31,MMM,bmo,False,True
1987-06-29,MMM,0.27,,bmo,2381000000.0,,2025-04-25,1987-06-30,MMM,bmo,False,True
