ticker,eps_date,timing,is_amc,entry_date,entry_observable,days_to_entry,days_to_eps,macd,macd_signal,macd_bullish,rsi_14,status,realised_ret,decision,eps_estimate,revenue_estimate
ACN,2026-03-19,bmo,False,2026-03-05,True,-30,-20,-12.738866185536438,-14.413321238587995,True,41.40538151006376,post-event,,,2.84,17842690000.0
GS,2026-04-13,bmo,False,2026-03-27,True,-14,-4,-18.60326887897384,-22.50525398970327,True,38.31088203523555,post-event,,,16.47,16991320000.0
BLK,2026-04-14,bmo,False,2026-03-30,True,-13,-3,-26.477867742814965,-28.012315859755446,True,34.095492141985545,post-event,,,11.65,6550612000.0
C,2026-04-14,bmo,False,2026-03-30,True,-13,-3,-0.6865757008752098,-0.912656948408794,True,42.64362522933651,post-event,,,2.65,23598490000.0
JPM,2026-04-14,bmo,False,2026-03-30,True,-13,-3,-3.882458075746058,-4.329114102861447,True,38.496618800041794,post-event,,,5.47,49181760000.0
WFC,2026-04-14,bmo,False,2026-03-30,True,-13,-3,-1.9367653500333968,-2.4034578723967823,True,38.418225318989975,post-event,,,1.58,21792360000.0
BAC,2026-04-15,bmo,False,2026-03-31,True,-12,-2,-0.8760426470500562,-1.1472616661270765,True,49.26033623720314,post-event,,,1.01,29949370000.0
MS,2026-04-15,bmo,False,2026-03-31,True,-12,-2,-2.095362831548272,-2.9862748774041687,True,50.75356497493915,post-event,,,3.02,19738470000.0
BK,2026-04-16,bmo,False,2026-04-01,True,-11,-1,-0.0590988864399406,-0.5693079009901522,True,60.28351129008822,post-event,,,1.94,5182778000.0
PEP,2026-04-16,bmo,False,2026-04-01,True,-11,-1,-1.8821256719352848,-1.95886398253356,True,45.6044135893502,post-event,,,1.54,18945550000.0
PLD,2026-04-16,bmo,False,2026-04-01,True,-11,-1,-1.431192951234351,-1.5289814792417875,True,51.18453730532365,post-event,,,0.806,2121336000.0
SCHW,2026-04-16,bmo,False,2026-04-01,True,-11,-1,-0.7917274635161391,-0.8524561967282153,True,41.54077350093182,post-event,,,1.4,6500439000.0
USB,2026-04-16,bmo,False,2026-04-01,True,-11,-1,-0.838034902534325,-1.0855511800826898,True,49.966835353149634,post-event,,,1.14,7280592000.0
FDX,2026-03-19,amc,True,2026-03-05,True,-30,-20,13.574694965812114,16.68055247373142,False,57.56902648301774,post-event,,,4.15,23487720000.0
NKE,2026-03-31,amc,True,2026-03-17,True,-22,-12,-2.3629939612017523,-1.8547101912243456,False,31.77620271884642,post-event,,,0.2908,11231940000.0
JNJ,2026-04-14,bmo,False,2026-03-30,True,-13,-3,0.3096271499533714,0.6069404776806756,False,57.29359951746645,post-event,,,2.68,23614670000.0
ABT,2026-04-16,bmo,False,2026-04-01,True,-11,-1,-2.6859199926581567,-2.2975751739657646,False,31.53535135245275,post-event,,,1.14,10999640000.0
NFLX,2026-04-16,amc,True,2026-04-01,True,-11,-1,1.3960820329538135,1.601683483365292,False,59.06100582908971,post-event,,,0.763,12177460000.0
